name,type,abv
Cutty Sark,Scotch,
Cutty Sark Prohibition Edition,Scotch,
Cutwater Fugu Vodka Soda Grapefruit,Vodka,
Cutwater Lime Tequila Soda,Tequila,
Cutwater Spirits Grapefruit Tequila Paloma,Tequila,
Cutwater Tequila Paloma,Tequila,
Cutwater White Russian,Liqueur,
Cylinder Vodka,Vodka,
Cynar Artichoke Liqueur,Liqueur,
Cyrus Noble Small Batch Bourbon,Bourbon,
Cytrynowka Weselna Vodka,Vodka,
Dahlia Cristalino Tequila,Tequila,
Dalwhinnie Distillers Edition,Scotch,
Dano's Dangerous Anejo Tequila,Tequila,
Dano's Dangerous Tequila Reposado,Tequila,
Deadwood Straight Bourbon Whiskey,Whiskey,
Deanston 18 Year Old Highland Single Malt Scotch,Scotch,
Deep Eddy Lemon Vodka,Vodka,
Deep Eddy Peach Vodka,Vodka,
Deep Eddy Sweet Tea Flavored Vodka,Vodka,
Deep Eddy Sweet Tea Vodka,Vodka,
Deep Eddy Texas Straight Vodka,Vodka,
Deep Eddy Vodka,Vodka,
Deep Eddy Vodka Ruby Red,Vodka,
Dekuyper Creme de Bananes,Liqueur,
Dekuyper Pucker Cherry Schnapps,Liqueur,
Dekuyper Pucker Sour Apple Schnapps Liqueur,Liqueur,
Dekuyper Triple Sec Liqueur,Liqueur,
Del Bac Distiller's Cut American Whiskey,Whiskey,
Del Maguey Iberico Mezcal,Mezcal,
Del Maguey Santo Domingo Albarradas Mezcal,Mezcal,
Deleon Anejo Tequila,Tequila,
Deleon Extra Anejo Tequila,Tequila,
Delirio Joven Mezcal,Mezcal,
Devil's Reef Black Spiced Rum,Rum,
Dewar's Ilegal Smooth Mezcal Cask Finish Blended Scotch Whiskey,Scotch,
Dewar's White Label Scotch,Scotch,
Dictador 20 Years Aged Rum,Rum,
Dillon's Cherry Gin Liqueur,Gin,
Dinastia Real Tequila Extra Anejo Ceramic,Tequila,
Dingle Gin Pot Still,Gin,
Diplomatico Ambassador Venezuela,Rum,
Diplomatico Distillery Collection Batch Kettle Rum,Rum,
Disaronno Amaretto Liqueur,Liqueur,
Dog Fish Head Analog Vodka,Vodka,
Dogfish Head Blueberry Shrub Vodka Soda,Vodka,
Don Ciccio & Figli Cerasum Liqueur,Liqueur,
Don Julio Reposado Tequila,Tequila,
Don Julio Ultima Reserva Extra Anejo,Tequila,
Don Mateo Pura Vida Reposado,Tequila,
Don Pancho Reserva Aged 8 Years,Rum,
Don Q Coco Coconut Flavored Rum,Rum,
Don Q Gran Anejo Rum,Rum,
Don Q Limon Rum,Rum,
Don Q Passion Fruit Rum,Rum,
Don Roberto Blanco Silver,Tequila,
Dos Hombres Joven Mezcal,Mezcal,
Dos Maya Artisanal Colombia Rum Gold,Rum,
Douglas & Todd Small Batch Bourbon,Bourbon,
Dr. Stoner's Smoky Herb Whiskey,Whiskey,
Drinkworks Top Shelf Collection Herradura Margarita Pods,Other,
Drumshanbo Gunpowder Irish Gin,Gin,
Dry Curacao Liqueur,Liqueur,
Dry French Vermouth,Vermouth,
Dry Sherry Wine,Wine,
Dry Vermouth,Vermouth,
Dubouchett Triple Sec Liqueur,Liqueur,
Duke Small Batch Kentucky Straight Bourbon,Bourbon,
Duncan Taylor The Big Smoke Islay Blended Scotch Whisky,Scotch,
Few American Gin,Gin,
Few Flaming Lips Brainville Rye Whiskey,Whiskey,
Few Rye Whiskey,Whiskey,
Few Spirits Immortal Rye Whiskey,Whiskey,
Fifth State Asylum Cinnamon Zap Vodka,Vodka,
Fighting 69th Irish Whiskey,Whiskey,
Filibuster Dual Cask Bourbon,Bourbon,
Filibuster Gin Baba,Gin,
Filibuster Rye Whiskey,Whiskey,
Finlandia Regular Vodka,Vodka,
Fino Dry Sherry Wine,Wine,
Fireball Cinnamon Whiskey,Whiskey,
Fistful of Bourbon,Bourbon,
Five Vodka,Vodka,
Flavored Whiskey,Whiskey,
Flor de Cana 4 Year Gold Rum,Rum,
Four Pillars Bloody Shiraz Gin,Gin,
Four Roses Bourbon,Bourbon,
Four Roses Bourbon Single Barrel,Bourbon,
Four Roses Bourbon Whiskey,Whiskey,
